id;name;label;display
081c57b4-6be2-48cb-a973-5bb8774c3e83;virtual back-end;Handcrafted;true
cec0b086-d0e8-4dfe-84d8-fedf83a52aa6;Small Loan Division;Cambridgeshire;false
d520a819-f277-40c6-9b4d-0a00af96911e;Island feed deposit;Frozen orchid intangible;true
c619da0b-c13a-441e-bf49-f58c4becca18;JBOD Jewelery;Account Music Rubber;false
d43d536d-b4c5-44c3-b07f-0eee1c45b8e8;conglomeration;Afghani;true
ca65d683-0ac1-4f6f-a95a-47b325bb3bf8;Chips;Colorado Lempira Valleys;true
bd0d4027-1be3-45c9-b5ab-dda36d182f3b;microchip HDD Kroon;next-generation SMS;true
b9ac0e94-30eb-4f38-9fc4-9b4c2e6039de;olive generation visionary;invoice;true
0ba735c7-25ea-41b4-963a-57ce1aca2898;Gloves Quality Garden;protocol;true
200a3d68-b7fe-4818-be54-46155b53f019;parse;24/7 digital;false
